Player,Tkl,TklW,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Team,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,PPA,CrsPA,PrgP,Touches,Def Pen,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Nation,Pos,Age,90s,Def 3rd,Mid 3rd,Att 3rd,TotDist,PrgDist,1/3,Country
William Saliba,28,17,13,86.7,2,23,12,21,49,57,2,Arsenal,23,0.82,22,0,0,0,0,3,0.11,3,0,0,0,0,0,2064,92.3,910,964,94.4,1046,1105,94.7,83,121,68.6,1,0.2,0.8,0.8,5,5,1,117,2409,167,12,2409,5,2,40,3,60,1592,14,1,17,11,1812,5,2,8,2,25,0.29,0.07,0.25,1,11,0,0,0,1.5,1.5,0.19,0.5,0.5,FRA,DF,23,28,17,10,1,34755,12635,138,France
Declan Rice,55,34,24,58.5,17,31,21,35,90,43,0,Arsenal,68,2.56,53,9,2,0,2,7,0.26,3,4,0,0,0,0,1676,89.6,763,821,92.9,765,809,94.6,118,177,66.7,5,3.7,3.4,1.3,29,26,2,227,2128,85,34,2128,29,14,48.3,11,37.9,1380,55,7,23,15,1593,39,6,40,14,35,1.51,0.53,0.15,0.43,20.9,2,0,0,2.2,2.2,0.06,3.8,3.8,ENG,MF,25,26.6,28,21,6,28518,7674,204,United Kingdom
Bukayo Saka,49,26,20,44.4,25,37,35,10,59,14,1,Arsenal,148,5.89,107,22,6,3,1,17,0.68,12,2,1,1,1,0,920,75.4,549,618,88.8,282,371,76,68,149,45.6,8,8.2,9.2,-0.2,68,58,10,100,1553,22,204,1549,98,39,39.8,43,43.9,1004,123,52,48,36,1117,422,13,77,24,31.2,3.06,0.95,0.12,0.38,16.9,0,4,4,11.5,8.4,0.11,1.5,0.6,ENG,FW,22,25.1,18,15,16,13843,3481,29,United Kingdom
Martin Ødegaard,34,13,11,28.9,27,18,17,7,41,5,0,Arsenal,154,6.28,126,13,6,4,0,14,0.57,10,2,0,1,1,0,1275,85.1,687,748,91.8,485,562,86.3,60,98,61.2,6,6.2,7.4,-0.2,73,82,8,241,1722,15,112,1720,50,25,50,21,42,1168,66,24,36,44,1355,145,6,53,16,30.2,2.16,0.65,0.08,0.25,20.8,2,2,2,5.6,4,0.07,0.4,0,NOR,MF,25,24.5,8,19,7,19337,5570,121,Norway
Ben White,31,19,15,48.4,16,30,14,24,55,48,1,Arsenal,54,2.28,48,3,0,0,2,5,0.21,4,0,0,1,0,0,1393,84.5,746,816,91.4,559,642,87.1,66,136,48.5,4,2.3,2.9,1.7,22,32,8,136,1831,75,43,1831,15,6,40,8,53.3,1033,28,7,18,6,1288,128,2,8,4,50,0.34,0.17,0.25,0.5,13.7,0,0,0,0.7,0.7,0.09,1.3,1.3,ENG,DF,26,23.7,13,15,3,21584,7206,128,United Kingdom
Gabriel Dos Santos,34,18,13,81.3,3,35,9,22,56,64,0,Arsenal,18,0.74,16,1,0,0,0,1,0.04,1,0,0,0,0,0,1486,89,634,669,94.8,748,810,92.3,89,152,58.6,0,0.7,0.6,-0.7,3,6,1,97,1879,211,33,1879,4,1,25,2,50,1140,12,1,8,2,1342,8,4,23,9,39.1,0.95,0.37,0.17,0.44,7.6,0,0,0,3.3,3.3,0.14,0.7,0.7,BRA,DF,26,24.2,19,14,1,25366,8380,125,Brazil
Gabriel Martinelli,19,15,8,47.1,9,18,17,4,23,5,1,Arsenal,81,4.17,53,6,11,1,2,11,0.57,7,1,1,2,0,0,650,78.1,372,430,86.5,222,274,81,41,77,53.2,4,5.2,4.5,-1.2,38,31,6,59,1090,6,170,1090,104,36,34.6,55,52.9,759,109,68,42,33,849,303,6,49,15,30.6,2.52,0.77,0.12,0.4,15.7,0,0,0,5.6,5.6,0.11,0.4,0.4,BRA,FW,22,19.4,3,7,9,9984,1826,22,Brazil
David Raya,1,1,1,100,0,0,0,0,1,6,4,Arsenal,3,0.14,2,1,0,0,0,0,0,0,0,0,0,0,0,547,76.1,163,163,100,274,276,99.3,109,275,39.6,0,0,0,0,0,0,0,2,740,507,0,740,0,0,0,0,0,491,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ESP,GK,28,22,1,0,0,12814,8810,21,Spain
Kai Havertz,25,11,11,37.9,18,24,23,14,39,13,0,Arsenal,65,3.29,54,0,2,4,1,14,0.71,9,0,2,2,1,0,568,82.7,381,435,87.6,159,192,82.8,5,10,50,3,1.9,2,1.1,28,20,0,81,902,18,115,901,29,10,34.5,13,44.8,486,38,15,31,24,630,123,8,39,12,30.8,1.97,0.61,0.18,0.58,12.6,0,1,1,7.8,7,0.18,0.2,0,GER,"MF,FW",24,19.8,3,16,6,7294,1781,50,Germany
Oleksandr Zinchenko,46,27,33,68.8,15,17,14,15,61,18,2,Arsenal,55,3.44,52,1,1,0,0,6,0.37,5,1,0,0,0,0,1173,87.8,538,582,92.4,523,580,90.2,89,123,72.4,2,1.8,2.5,0.2,24,41,4,196,1467,35,27,1467,12,7,58.3,4,33.3,857,36,7,8,13,1001,54,1,15,3,20,0.94,0.19,0.07,0.33,22.4,0,0,0,0.5,0.5,0.03,0.5,0.5,UKR,DF,27,16,18,22,6,20081,5951,136,Ukraine
Gabriel Jesus,19,13,3,23.1,10,16,15,8,27,7,0,Arsenal,42,3.31,27,1,5,2,2,6,0.47,3,1,1,1,0,0,316,79.2,199,236,84.3,90,110,81.8,10,15,66.7,3,2.6,2.1,0.4,23,15,1,36,598,11,103,598,55,27,49.1,20,36.4,395,28,19,50,31,447,116,4,42,17,40.5,3.31,1.34,0.1,0.24,11.6,0,0,0,5.4,5.4,0.13,-1.4,-1.4,BRA,FW,26,12.7,10,4,5,4254,736,14,Brazil
Eddie Nketiah,12,7,2,28.6,5,11,11,4,16,3,0,Arsenal,27,2.31,16,0,3,3,0,8,0.68,3,0,1,1,3,0,164,78.8,96,116,82.8,58,68,85.3,3,4,75,2,0.8,0.7,1.2,9,5,0,19,356,4,69,356,29,8,27.6,14,48.3,224,21,10,36,15,265,73,5,36,11,30.6,3.08,0.94,0.14,0.45,12.6,0,0,0,4.4,4.4,0.12,0.6,0.6,ENG,FW,24,11.7,2,6,4,2271,259,7,United Kingdom
Leandro Trossard,16,11,5,41.7,7,18,18,6,22,4,0,Arsenal,44,3.88,29,3,6,4,0,6,0.53,1,1,2,0,2,0,317,70.3,160,195,82.1,129,176,73.3,21,43,48.8,1,1.9,1.9,-0.9,16,20,4,53,605,8,77,605,31,16,51.6,12,38.7,385,35,10,27,27,422,93,7,40,14,35,3.53,1.24,0.18,0.5,16.3,0,0,0,5.3,5.3,0.13,1.7,1.7,BEL,"FW,MF",29,11.3,6,6,4,5053,1257,16,Belgium
Jakub Kiwior,18,12,14,82.4,3,7,5,6,24,25,0,Arsenal,10,1.14,8,2,0,0,0,4,0.46,3,1,0,0,0,0,468,84.6,245,277,88.4,187,214,87.4,31,50,62,3,0.8,0.5,2.2,5,6,3,48,626,20,14,626,1,1,100,0,0,329,4,1,6,1,422,13,1,6,2,33.3,0.69,0.23,0.17,0.5,13.8,0,0,0,0.8,0.8,0.14,0.2,0.2,POL,DF,24,8.8,9,8,1,7592,2674,41,Poland
Jorginho,18,7,9,47.4,10,15,14,8,26,4,1,Arsenal,20,2.48,19,0,0,0,0,4,0.5,4,0,0,0,0,0,598,89.5,303,319,95,247,273,90.5,37,49,75.5,1,0.9,1.5,0.1,8,19,1,87,730,15,2,730,3,1,33.3,2,66.7,457,7,0,4,3,577,6,0,4,0,0,0.49,0,0,0,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,ITA,MF,32,8.1,6,5,7,9780,2862,69,Italy
Aaron Ramsdale,0,0,0,0,0,0,0,0,0,3,2,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,69.7,38,38,100,61,62,98.4,32,86,37.2,0,0,0,0,0,0,0,2,197,140,0,197,0,0,0,0,0,137,0,0,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,GK,25,6,0,0,0,3303,2420,4,United Kingdom
Takehiro Tomiyasu,11,5,6,66.7,3,3,2,10,21,19,0,Arsenal,11,1.56,11,0,0,0,0,2,0.28,2,0,0,0,0,0,397,83.1,204,227,89.9,168,194,86.6,18,39,46.2,1,0.2,0.4,0.8,2,7,1,58,537,17,10,537,7,4,57.1,3,42.9,341,11,0,6,3,368,24,1,8,2,25,1.14,0.28,0.13,0.5,17.8,0,0,0,0.5,0.5,0.06,0.5,0.5,JPN,DF,25,7,9,2,0,6216,1599,41,Japan
Thomas Partey,6,5,4,66.7,2,2,1,4,10,2,0,Arsenal,10,3.24,10,0,0,0,0,2,0.65,2,0,0,0,0,0,260,90,135,144,93.8,99,110,90,20,27,74.1,0,0.1,0.2,-0.1,3,8,2,34,311,4,4,311,9,6,66.7,1,11.1,198,12,1,2,3,233,5,0,2,1,50,0.65,0.32,0,0,17,0,0,0,0.1,0.1,0.04,-0.1,-0.1,GHA,"DF,MF",30,3.1,5,1,0,4187,1156,29,Ghana
Fabio Vieira,3,2,3,100,0,0,0,2,5,1,0,Arsenal,11,3.46,6,1,0,3,0,5,1.57,1,1,0,0,3,0,113,80.7,61,68,89.7,42,51,82.4,9,17,52.9,2,1.4,0.8,0.6,4,4,1,13,171,2,18,170,8,2,25,5,62.5,107,10,4,7,4,131,27,1,5,1,20,1.57,0.31,0,0,18.3,0,1,1,1.2,0.4,0.08,-0.2,-0.4,POR,"MF,FW",23,3.2,2,0,1,1875,360,12,Portugal
Emile Smith Rowe,3,0,2,50,2,3,2,1,4,0,0,Arsenal,8,3.06,6,1,0,1,0,2,0.77,1,1,0,0,0,0,126,88.1,84,94,89.4,38,40,95,1,3,33.3,1,0.2,0.4,0.8,2,9,0,16,172,0,11,172,7,3,42.9,3,42.9,101,8,1,4,3,129,11,0,10,4,40,3.83,1.53,0,0,15.9,0,0,0,1.5,1.5,0.15,-1.5,-1.5,ENG,MF,23,2.6,2,1,0,1715,345,9,United Kingdom
Jurriën Timber,1,1,0,0,0,0,0,0,1,1,0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,89.8,21,22,95.5,23,26,88.5,0,0,0,0,0,0,0,0,0,0,7,51,0,0,51,0,0,0,0,0,39,0,0,0,0,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NED,DF,22,0.5,0,1,0,654,152,9,Netherlands
Reiss Nelson,8,5,8,88.9,1,4,3,1,9,5,0,Arsenal,7,3.25,6,1,0,0,0,0,0,0,0,0,0,0,0,94,84.7,58,61,95.1,26,31,83.9,6,12,50,0,0.6,0.4,-0.6,4,4,2,3,147,7,10,147,6,0,0,6,100,97,8,4,7,4,97,19,0,3,1,33.3,1.39,0.46,0,0,22.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ENG,"FW,MF",24,2.2,4,1,3,1327,243,1,United Kingdom
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,87,39,41,95.1,15,17,88.2,5,8,62.5,0,0,0,0,0,0,0,3,69,0,0,69,0,0,0,0,0,37,0,0,0,0,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,DF,32,0.7,0,0,0,905,157,4,Portugal
Mohamed Elneny,0,0,0,0,1,0,0,1,1,0,0,Arsenal,1,3.21,1,0,0,0,0,0,0,0,0,0,0,0,0,39,97.5,18,19,94.7,21,21,100,0,0,0,0,0,0,0,0,0,0,1,45,1,1,45,0,0,0,0,0,27,1,0,1,0,37,0,0,2,1,50,6.43,3.21,0,0,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,EGY,MF,31,0.3,0,0,0,624,147,2,Egypt
Ethan Nwaneri,0,0,0,0,0,1,1,0,0,0,0,Arsenal,1,6.43,1,0,0,0,0,0,0,0,0,0,0,0,0,15,83.3,10,13,76.9,5,5,100,0,0,0,0,0,0,0,1,2,0,2,20,0,2,20,1,0,0,0,0,16,2,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,FW,17,0.2,0,0,0,209,56,1,United Kingdom
