Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Team
0,William Saliba,fr FRA,DF,23-001,28.0,28,17,17,10,1,13,15,86.7,2,23,11,12,21,49,57,2,Arsenal
1,Declan Rice,eng ENG,MF,25-071,26.6,55,34,28,21,6,24,41,58.5,17,31,10,21,35,90,43,0,Arsenal
2,Bukayo Saka,eng ENG,FW,22-202,25.1,49,26,18,15,16,20,45,44.4,25,37,2,35,10,59,14,1,Arsenal
3,Martin Ødegaard,no NOR,MF,25-099,24.5,34,13,8,19,7,11,38,28.9,27,18,1,17,7,41,5,0,Arsenal
4,Ben White,eng ENG,DF,26-169,23.7,31,19,13,15,3,15,31,48.4,16,30,16,14,24,55,48,1,Arsenal
5,Gabriel Dos Santos,br BRA,DF,26-097,24.2,34,18,19,14,1,13,16,81.3,3,35,26,9,22,56,64,0,Arsenal
6,Gabriel Martinelli,br BRA,FW,22-281,19.4,19,15,3,7,9,8,17,47.1,9,18,1,17,4,23,5,1,Arsenal
7,David Raya,es ESP,GK,28-192,22.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,4,Arsenal
8,Kai Havertz,de GER,"MF,FW",24-288,19.8,25,11,3,16,6,11,29,37.9,18,24,1,23,14,39,13,0,Arsenal
9,Oleksandr Zinchenko,ua UKR,DF,27-101,16.0,46,27,18,22,6,33,48,68.8,15,17,3,14,15,61,18,2,Arsenal
10,Gabriel Jesus,br BRA,FW,26-357,12.7,19,13,10,4,5,3,13,23.1,10,16,1,15,8,27,7,0,Arsenal
11,Eddie Nketiah,eng ENG,FW,24-300,11.7,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,3,0,Arsenal
12,Leandro Trossard,be BEL,"FW,MF",29-112,11.3,16,11,6,6,4,5,12,41.7,7,18,0,18,6,22,4,0,Arsenal
13,Jakub Kiwior,pl POL,DF,24-039,8.8,18,12,9,8,1,14,17,82.4,3,7,2,5,6,24,25,0,Arsenal
14,Jorginho,it ITA,MF,32-096,8.1,18,7,6,5,7,9,19,47.4,10,15,1,14,8,26,4,1,Arsenal
15,Aaron Ramsdale,eng ENG,GK,25-316,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Arsenal
16,Takehiro Tomiyasu,jp JPN,DF,25-141,7.0,11,5,9,2,0,6,9,66.7,3,3,1,2,10,21,19,0,Arsenal
17,Thomas Partey,gh GHA,"DF,MF",30-286,3.1,6,5,5,1,0,4,6,66.7,2,2,1,1,4,10,2,0,Arsenal
18,Fabio Vieira,pt POR,"MF,FW",23-300,3.2,3,2,2,0,1,3,3,100.0,0,0,0,0,2,5,1,0,Arsenal
19,Emile Smith Rowe,eng ENG,MF,23-241,2.6,3,0,2,1,0,2,4,50.0,2,3,1,2,1,4,0,0,Arsenal
20,Jurriën Timber,nl NED,DF,22-282,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Arsenal
21,Reiss Nelson,eng ENG,"FW,MF",24-106,2.2,8,5,4,1,3,8,9,88.9,1,4,1,3,1,9,5,0,Arsenal
22,Cédric Soares,pt POR,DF,32-207,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Arsenal
23,Mohamed Elneny,eg EGY,MF,31-258,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Arsenal
24,Ethan Nwaneri,eng ENG,FW,17-004,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Arsenal
25,Virgil van Dijk,nl NED,DF,32-261,25.3,31,16,20,8,3,10,12,83.3,2,35,26,9,34,65,112,0,Liverpool
26,Luis Díaz,co COL,FW,27-072,20.4,22,17,3,10,9,6,26,23.1,20,14,0,14,3,25,7,0,Liverpool
27,Alexis Mac Allister,ar ARG,MF,25-092,20.1,64,37,21,35,8,42,89,47.2,47,51,5,46,27,91,14,0,Liverpool
28,Alisson,br BRA,GK,31-175,21.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,3,Liverpool
29,Dominik Szoboszlai,hu HUN,MF,23-152,19.2,29,18,10,11,8,15,44,34.1,29,32,2,30,11,40,16,1,Liverpool
30,Mohamed Salah,eg EGY,FW,31-284,20.2,13,9,0,5,8,5,17,29.4,12,15,1,14,2,15,0,0,Liverpool
31,Trent Alexander-Arnold,eng ENG,DF,25-170,18.0,28,19,19,8,1,20,67,29.9,47,13,1,12,23,51,39,4,Liverpool
32,Darwin Núñez,uy URU,FW,24-275,17.5,19,12,2,9,8,10,21,47.6,11,17,6,11,2,21,5,0,Liverpool
33,Joe Gomez,eng ENG,DF,26-307,16.1,38,24,19,13,6,24,54,44.4,30,21,3,18,14,52,42,2,Liverpool
34,Ibrahima Konaté,fr FRA,DF,24-305,14.8,30,19,18,11,1,15,21,71.4,6,17,11,6,18,48,45,0,Liverpool
35,Diogo Jota,pt POR,FW,27-112,11.6,23,13,6,13,4,10,22,45.5,12,8,1,7,6,29,4,0,Liverpool
36,Cody Gakpo,nl NED,"FW,MF",24-323,12.9,18,11,5,9,4,4,14,28.6,10,18,4,14,8,26,7,0,Liverpool
37,Wataru Endo,jp JPN,MF,31-045,12.2,30,17,7,19,4,11,35,31.4,24,16,2,14,12,42,21,1,Liverpool
38,Curtis Jones,eng ENG,MF,23-055,10.6,21,13,12,7,2,8,20,40.0,12,17,0,17,6,27,8,0,Liverpool
39,Andrew Robertson,sct SCO,DF,30-014,11.8,26,18,17,7,2,18,26,69.2,8,10,3,7,9,35,30,0,Liverpool
40,Ryan Gravenberch,nl NED,MF,21-314,9.4,20,9,5,9,6,7,21,33.3,14,14,1,13,11,31,11,0,Liverpool
41,Joël Matip,cm CMR,DF,32-230,8.7,12,6,7,4,1,8,12,66.7,4,16,12,4,9,21,43,0,Liverpool
42,Kostas Tsimikas,gr GRE,DF,27-318,7.5,19,13,9,6,4,9,15,60.0,6,9,1,8,6,25,10,0,Liverpool
43,Caoimhín Kelleher,ie IRL,GK,25-123,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Liverpool
44,Harvey Elliott,eng ENG,"MF,FW",20-356,9.3,16,12,3,10,3,7,21,33.3,14,16,0,16,5,21,6,0,Liverpool
45,Jarell Quansah,eng ENG,DF,21-056,5.9,7,6,6,1,0,4,6,66.7,2,5,2,3,5,12,19,0,Liverpool
46,Conor Bradley,nir NIR,DF,20-260,4.9,19,16,10,7,2,13,22,59.1,9,10,1,9,5,24,9,0,Liverpool
47,Bobby Clark,eng ENG,MF,19-047,1.0,2,1,1,1,0,1,5,20.0,4,6,2,4,1,3,1,0,Liverpool
48,Ben Doak,sct SCO,FW,18-135,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Liverpool
49,Jayden Danns,eng ENG,FW,18-069,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Liverpool
50,Owen Beck,wls WAL,DF,21-229,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,Liverpool
51,Thiago Alcántara,es ESP,MF,32-349,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Liverpool
52,James McConnell,eng ENG,MF,19-194,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Liverpool
53,Kaide Gordon,eng ENG,FW,19-172,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Liverpool
54,Ederson,br BRA,GK,30-221,25.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,Manchester City
55,Phil Foden,eng ENG,"FW,MF",23-302,25.7,24,14,10,8,6,12,24,50.0,12,21,0,21,13,37,15,1,Manchester City
56,Julián Álvarez,ar ARG,"MF,FW",24-054,24.4,19,9,3,7,9,7,25,28.0,18,23,0,23,2,21,13,1,Manchester City
57,Kyle Walker,eng ENG,DF,33-302,25.1,28,18,15,11,2,15,32,46.9,17,16,4,12,22,50,36,1,Manchester City
58,Rodri,es ESP,MF,27-277,24.1,54,33,17,27,10,26,48,54.2,22,25,7,18,20,74,35,3,Manchester City
59,Erling Haaland,no NOR,FW,23-248,21.4,5,2,0,3,2,2,2,100.0,0,9,1,8,1,6,13,0,Manchester City
60,Rúben Dias,pt POR,DF,26-316,21.4,27,12,11,15,1,14,20,70.0,6,25,13,12,22,49,69,0,Manchester City
61,Bernardo Silva,pt POR,"MF,FW",29-228,21.1,38,19,11,21,6,18,40,45.0,22,21,3,18,11,49,11,1,Manchester City
62,Nathan Aké,nl NED,DF,29-036,19.2,23,13,15,6,2,12,17,70.6,5,13,2,11,11,34,44,0,Manchester City
63,Manuel Akanji,ch SUI,"DF,MF",28-250,18.6,25,16,10,10,5,14,26,53.8,12,21,10,11,20,45,55,1,Manchester City
64,Joško Gvardiol,hr CRO,DF,22-062,16.4,30,21,11,15,4,14,23,60.9,9,20,9,11,20,50,24,2,Manchester City
65,Jeremy Doku,be BEL,"FW,MF",21-303,13.3,28,19,10,11,7,9,17,52.9,8,9,0,9,8,36,4,0,Manchester City
66,John Stones,eng ENG,"DF,MF",29-302,10.6,2,1,1,0,1,0,3,0.0,3,11,7,4,9,11,20,0,Manchester City
67,Mateo Kovačić,hr CRO,MF,29-324,10.8,21,16,11,8,2,11,17,64.7,6,13,0,13,3,24,8,0,Manchester City
68,Jack Grealish,eng ENG,FW,28-197,7.9,12,8,6,6,0,6,11,54.5,5,12,2,10,4,16,4,0,Manchester City
69,Matheus Nunes,pt POR,"MF,FW",25-211,5.6,8,3,1,5,2,4,10,40.0,6,4,1,3,0,8,7,0,Manchester City
70,Kevin De Bruyne,be BEL,MF,32-271,5.5,4,3,1,1,2,4,9,44.4,5,2,0,2,2,6,1,0,Manchester City
71,Rico Lewis,eng ENG,"MF,DF",19-125,5.0,5,3,3,1,1,1,3,33.3,2,4,1,3,4,9,3,0,Manchester City
72,Stefan Ortega,de GER,GK,31-140,2.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Manchester City
73,Oscar Bobb,no NOR,"FW,MF",20-257,2.0,3,0,1,0,2,1,2,50.0,1,3,0,3,1,4,1,0,Manchester City
74,Kalvin Phillips,eng ENG,MF,28-114,1.0,3,3,1,1,1,0,0,,0,0,0,0,2,5,2,0,Manchester City
75,Sergio Gómez,es ESP,FW,23-203,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Manchester City
76,Aymeric Laporte,es ESP,DF,29-303,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,Manchester City
77,Cole Palmer,eng ENG,MF,21-324,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Manchester City
78,James Mcatee,eng ENG,MF,21-159,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Manchester City
79,Ollie Watkins,eng ENG,FW,28-086,28.5,9,6,0,3,6,4,10,40.0,6,24,4,20,4,13,19,0,Aston Villa
80,Emiliano Martínez,ar ARG,GK,31-205,28.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1,Aston Villa
81,Douglas Luiz,br BRA,MF,25-321,26.9,52,34,18,25,9,23,48,47.9,25,29,6,23,18,70,17,1,Aston Villa
82,John McGinn,sct SCO,"MF,FW",29-159,26.4,48,29,13,29,6,25,60,41.7,35,21,2,19,15,63,18,0,Aston Villa
83,Ezri Konsa,eng ENG,DF,26-154,25.1,38,22,20,15,3,18,20,90.0,2,25,14,11,25,63,62,3,Aston Villa
84,Matty Cash,pl POL,DF,26-231,21.1,48,26,21,22,5,24,49,49.0,25,33,12,21,18,66,52,0,Aston Villa
85,Pau Torres,es ESP,DF,27-069,20.4,21,13,14,6,1,10,22,45.5,12,17,6,11,10,31,54,0,Aston Villa
86,Boubacar Kamara,fr FRA,MF,24-123,18.4,43,29,16,21,6,24,47,51.1,23,21,7,14,21,64,16,0,Aston Villa
87,Lucas Digne,fr FRA,DF,30-249,18.5,33,15,25,7,1,18,31,58.1,13,12,0,12,20,53,41,0,Aston Villa
88,Moussa Diaby,fr FRA,"FW,MF",24-262,17.5,7,2,2,4,1,3,11,27.3,8,7,0,7,5,12,4,0,Aston Villa
89,Leon Bailey,jm JAM,"MF,FW",26-229,16.6,7,3,3,2,2,3,12,25.0,9,12,1,11,8,15,5,0,Aston Villa
90,Diego Carlos,br BRA,DF,31-010,13.0,17,12,13,3,1,7,13,53.8,6,13,10,3,10,27,48,2,Aston Villa
91,Clément Lenglet,fr FRA,DF,28-282,10.8,10,8,5,5,0,6,9,66.7,3,15,7,8,6,16,41,1,Aston Villa
92,Youri Tielemans,be BEL,"MF,FW",26-323,12.7,30,16,13,13,4,12,28,42.9,16,18,1,17,9,39,4,0,Aston Villa
93,Álex Moreno,es ESP,DF,30-291,10.4,16,12,16,0,0,10,16,62.5,6,9,2,7,12,28,33,0,Aston Villa
94,Jacob Ramsey,eng ENG,"MF,FW",22-302,9.5,16,8,7,6,3,5,15,33.3,10,15,2,13,3,19,8,0,Aston Villa
95,Nicolò Zaniolo,it ITA,"MF,FW",24-267,6.9,12,5,6,4,2,5,11,45.5,6,13,0,13,1,13,9,0,Aston Villa
96,Jhon Durán,co COL,"FW,MF",20-103,2.6,3,3,1,1,1,0,3,0.0,3,3,0,3,0,3,7,0,Aston Villa
97,Morgan Rogers,eng ENG,MF,21-243,1.4,1,0,0,0,1,1,3,33.3,2,3,0,3,0,1,5,0,Aston Villa
98,Leander Dendoncker,be BEL,MF,28-345,1.3,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1,Aston Villa
99,Robin Olsen,se SWE,GK,34-077,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Aston Villa
100,Tyrone Mings,eng ENG,DF,31-012,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Aston Villa
101,Tim Iroegbunam,eng ENG,MF,20-269,0.7,3,3,1,1,1,1,3,33.3,2,2,0,2,1,4,1,0,Aston Villa
102,Calum Chambers,eng ENG,DF,29-065,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Aston Villa
103,Philippe Coutinho,br BRA,"MF,FW",31-287,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Aston Villa
104,Bertrand Traoré,bf BFA,"DF,FW",28-201,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Aston Villa
105,Cameron Archer,eng ENG,MF,22-248,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Aston Villa
106,Jaden Philogene Bidace,eng ENG,FW,22-046,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Aston Villa
107,Guglielmo Vicario,it ITA,GK,27-170,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,26,2,Tottenham
108,Pedro Porro,es ESP,DF,24-194,25.0,71,50,35,22,14,47,92,51.1,45,50,14,36,23,94,79,2,Tottenham
109,Dejan Kulusevski,se SWE,"FW,MF",23-335,24.5,47,24,15,16,16,18,49,36.7,31,16,1,15,12,59,2,1,Tottenham
110,Son Heung-min,kr KOR,FW,31-261,23.0,15,9,5,5,5,7,16,43.8,9,3,1,2,7,22,4,0,Tottenham
