Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Team
0,William Saliba,fr FRA,DF,23-001,28.0,23,0.82,22,0,0,1,0,0,3,0.11,3,0,0,0,0,0,Arsenal
1,Declan Rice,eng ENG,MF,25-071,26.6,68,2.56,53,9,2,2,0,2,7,0.26,3,4,0,0,0,0,Arsenal
2,Bukayo Saka,eng ENG,FW,22-202,25.1,148,5.89,107,22,6,9,3,1,17,0.68,12,2,1,1,1,0,Arsenal
3,Martin Ødegaard,no NOR,MF,25-099,24.5,154,6.28,126,13,6,5,4,0,14,0.57,10,2,0,1,1,0,Arsenal
4,Ben White,eng ENG,DF,26-169,23.7,54,2.28,48,3,0,1,0,2,5,0.21,4,0,0,1,0,0,Arsenal
5,Gabriel Dos Santos,br BRA,DF,26-097,24.2,18,0.74,16,1,0,1,0,0,1,0.04,1,0,0,0,0,0,Arsenal
6,Gabriel Martinelli,br BRA,FW,22-281,19.4,81,4.17,53,6,11,8,1,2,11,0.57,7,1,1,2,0,0,Arsenal
7,David Raya,es ESP,GK,28-192,22.0,3,0.14,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
8,Kai Havertz,de GER,"MF,FW",24-288,19.8,65,3.29,54,0,2,4,4,1,14,0.71,9,0,2,2,1,0,Arsenal
9,Oleksandr Zinchenko,ua UKR,DF,27-101,16.0,55,3.44,52,1,1,1,0,0,6,0.37,5,1,0,0,0,0,Arsenal
10,Gabriel Jesus,br BRA,FW,26-357,12.7,42,3.31,27,1,5,5,2,2,6,0.47,3,1,1,1,0,0,Arsenal
11,Eddie Nketiah,eng ENG,FW,24-300,11.7,27,2.31,16,0,3,5,3,0,8,0.68,3,0,1,1,3,0,Arsenal
12,Leandro Trossard,be BEL,"FW,MF",29-112,11.3,44,3.88,29,3,6,2,4,0,6,0.53,1,1,2,0,2,0,Arsenal
13,Jakub Kiwior,pl POL,DF,24-039,8.8,10,1.14,8,2,0,0,0,0,4,0.46,3,1,0,0,0,0,Arsenal
14,Jorginho,it ITA,MF,32-096,8.1,20,2.48,19,0,0,1,0,0,4,0.5,4,0,0,0,0,0,Arsenal
15,Aaron Ramsdale,eng ENG,GK,25-316,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
16,Takehiro Tomiyasu,jp JPN,DF,25-141,7.0,11,1.56,11,0,0,0,0,0,2,0.28,2,0,0,0,0,0,Arsenal
17,Thomas Partey,gh GHA,"DF,MF",30-286,3.1,10,3.24,10,0,0,0,0,0,2,0.65,2,0,0,0,0,0,Arsenal
18,Fabio Vieira,pt POR,"MF,FW",23-300,3.2,11,3.46,6,1,0,1,3,0,5,1.57,1,1,0,0,3,0,Arsenal
19,Emile Smith Rowe,eng ENG,MF,23-241,2.6,8,3.06,6,1,0,0,1,0,2,0.77,1,1,0,0,0,0,Arsenal
20,Jurriën Timber,nl NED,DF,22-282,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
21,Reiss Nelson,eng ENG,"FW,MF",24-106,2.2,7,3.25,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
22,Cédric Soares,pt POR,DF,32-207,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
23,Mohamed Elneny,eg EGY,MF,31-258,0.3,1,3.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
24,Ethan Nwaneri,eng ENG,FW,17-004,0.2,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Arsenal
25,Virgil van Dijk,nl NED,DF,32-261,25.3,45,1.78,42,0,0,3,0,0,3,0.12,3,0,0,0,0,0,Liverpool
26,Luis Díaz,co COL,FW,27-072,20.4,101,4.95,74,1,11,8,7,0,7,0.34,7,0,0,0,0,0,Liverpool
27,Alexis Mac Allister,ar ARG,MF,25-092,20.1,66,3.28,53,4,3,1,3,2,11,0.55,9,1,1,0,0,0,Liverpool
28,Alisson,br BRA,GK,31-175,21.0,11,0.52,10,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Liverpool
29,Dominik Szoboszlai,hu HUN,MF,23-152,19.2,79,4.11,57,14,3,2,3,0,6,0.31,4,0,0,1,1,0,Liverpool
30,Mohamed Salah,eg EGY,FW,31-284,20.2,93,4.61,71,1,4,11,5,1,16,0.79,12,0,2,1,1,0,Liverpool
31,Trent Alexander-Arnold,eng ENG,DF,25-170,18.0,99,5.49,62,28,5,4,0,0,7,0.39,4,3,0,0,0,0,Liverpool
32,Darwin Núñez,uy URU,FW,24-275,17.5,65,3.72,48,0,3,12,2,0,13,0.74,10,0,0,2,1,0,Liverpool
33,Joe Gomez,eng ENG,DF,26-307,16.1,39,2.42,33,0,1,3,2,0,4,0.25,4,0,0,0,0,0,Liverpool
34,Ibrahima Konaté,fr FRA,DF,24-305,14.8,21,1.42,21,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Liverpool
35,Diogo Jota,pt POR,FW,27-112,11.6,44,3.78,34,0,5,2,3,0,13,1.12,7,0,4,1,1,0,Liverpool
36,Cody Gakpo,nl NED,"FW,MF",24-323,12.9,36,2.79,24,1,3,6,1,1,5,0.39,3,0,0,2,0,0,Liverpool
37,Wataru Endo,jp JPN,MF,31-045,12.2,35,2.88,27,0,1,3,2,2,1,0.08,1,0,0,0,0,0,Liverpool
38,Curtis Jones,eng ENG,MF,23-055,10.6,30,2.83,23,0,3,2,1,1,2,0.19,2,0,0,0,0,0,Liverpool
39,Andrew Robertson,sct SCO,DF,30-014,11.8,46,3.88,23,22,0,0,1,0,2,0.17,1,1,0,0,0,0,Liverpool
40,Ryan Gravenberch,nl NED,MF,21-314,9.4,30,3.2,24,0,1,5,0,0,0,0.0,0,0,0,0,0,0,Liverpool
41,Joël Matip,cm CMR,DF,32-230,8.7,8,0.92,8,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Liverpool
42,Kostas Tsimikas,gr GRE,DF,27-318,7.5,32,4.29,20,9,0,0,2,1,2,0.27,2,0,0,0,0,0,Liverpool
43,Caoimhín Kelleher,ie IRL,GK,25-123,7.0,1,0.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Liverpool
44,Harvey Elliott,eng ENG,"MF,FW",20-356,9.3,39,4.18,32,2,1,3,0,1,2,0.21,2,0,0,0,0,0,Liverpool
45,Jarell Quansah,eng ENG,DF,21-056,5.9,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Liverpool
46,Conor Bradley,nir NIR,DF,20-260,4.9,18,3.67,10,1,3,2,1,1,3,0.61,2,1,0,0,0,0,Liverpool
47,Bobby Clark,eng ENG,MF,19-047,1.0,1,1.01,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Liverpool
48,Ben Doak,sct SCO,FW,18-135,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Liverpool
49,Jayden Danns,eng ENG,FW,18-069,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Liverpool
50,Owen Beck,wls WAL,DF,21-229,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Liverpool
51,Thiago Alcántara,es ESP,MF,32-349,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Liverpool
52,James McConnell,eng ENG,MF,19-194,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Liverpool
53,Kaide Gordon,eng ENG,FW,19-172,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Liverpool
54,Ederson,br BRA,GK,30-221,25.7,5,0.19,3,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Manchester City
55,Phil Foden,eng ENG,"FW,MF",23-302,25.7,112,4.37,89,7,6,4,5,1,14,0.55,12,1,0,0,1,0,Manchester City
56,Julián Álvarez,ar ARG,"MF,FW",24-054,24.4,98,4.01,63,25,3,6,1,0,13,0.53,11,1,0,0,1,0,Manchester City
57,Kyle Walker,eng ENG,DF,33-302,25.1,58,2.31,54,1,0,1,2,0,8,0.32,7,0,0,1,0,0,Manchester City
58,Rodri,es ESP,MF,27-277,24.1,121,5.03,97,2,6,5,6,5,17,0.71,12,0,2,1,1,1,Manchester City
59,Erling Haaland,no NOR,FW,23-248,21.4,45,2.11,30,0,2,7,5,1,9,0.42,4,0,1,3,1,0,Manchester City
60,Rúben Dias,pt POR,DF,26-316,21.4,21,0.98,15,0,0,5,0,1,2,0.09,1,0,0,1,0,0,Manchester City
61,Bernardo Silva,pt POR,"MF,FW",29-228,21.1,107,5.08,96,3,4,1,3,0,6,0.28,5,0,1,0,0,0,Manchester City
62,Nathan Aké,nl NED,DF,29-036,19.2,35,1.82,27,0,2,4,1,1,6,0.31,3,0,1,2,0,0,Manchester City
63,Manuel Akanji,ch SUI,"DF,MF",28-250,18.6,33,1.77,27,1,0,2,2,1,3,0.16,3,0,0,0,0,0,Manchester City
64,Joško Gvardiol,hr CRO,DF,22-062,16.4,30,1.83,22,1,3,1,1,2,0,0.0,0,0,0,0,0,0,Manchester City
65,Jeremy Doku,be BEL,"FW,MF",21-303,13.3,74,5.55,58,1,9,4,2,0,8,0.6,6,0,1,1,0,0,Manchester City
