#,Player,Nat.,Age,Club,Highest value in career,Last update,Market value
0,1.0,Erling Haaland Centre-Forward,,23.0,,€180.00m,"Dec 19, 2023",€180.00m
1,2.0,Phil Foden Right Winger,,23.0,,€130.00m,"Mar 14, 2024",€130.00m
2,3.0,Bukayo Saka Right Winger,,22.0,,€130.00m,"Mar 14, 2024",€130.00m
3,4.0,Declan Rice Defensive Midfield,,25.0,,€110.00m,"Dec 19, 2023",€110.00m
4,5.0,Rodri Defensive Midfield,,27.0,,€110.00m,"Dec 19, 2023",€110.00m
5,6.0,Martin Ødegaard Attacking Midfield,,25.0,,€95.00m,"Mar 14, 2024",€95.00m
6,7.0,Julián Álvarez Second Striker,,24.0,,€90.00m,"Dec 19, 2023",€90.00m
7,8.0,Bruno Guimarães Defensive Midfield,,26.0,,€85.00m,"Dec 19, 2023",€85.00m
8,9.0,Enzo Fernández Central Midfield,,23.0,,€85.00m,"Dec 19, 2023",€80.00m
9,10.0,William Saliba Centre-Back,,23.0,,€80.00m,"Mar 14, 2024",€80.00m
10,11.0,Bernardo Silva Attacking Midfield,,29.0,,€100.00m,"Dec 19, 2023",€80.00m
11,12.0,Moisés Caicedo Defensive Midfield,,22.0,,€90.00m,"Mar 14, 2024",€80.00m
12,13.0,Rúben Dias Centre-Back,,26.0,,€80.00m,"Dec 19, 2023",€80.00m
13,14.0,Gabriel Martinelli Left Winger,,22.0,,€85.00m,"Mar 14, 2024",€80.00m
14,15.0,Luis Díaz Left Winger,,27.0,,€75.00m,"Dec 19, 2023",€75.00m
15,16.0,Josko Gvardiol Centre-Back,,22.0,,€80.00m,"Mar 14, 2024",€75.00m
16,17.0,Dominik Szoboszlai Central Midfield,,23.0,,€75.00m,"Dec 19, 2023",€75.00m
17,18.0,Douglas Luiz Central Midfield,,25.0,,€70.00m,"Mar 14, 2024",€70.00m
18,19.0,Bruno Fernandes Attacking Midfield,,29.0,,€90.00m,"Dec 19, 2023",€70.00m
19,20.0,James Maddison Attacking Midfield,,27.0,,€70.00m,"Dec 19, 2023",€70.00m
20,21.0,Gabriel Jesus Centre-Forward,,26.0,,€80.00m,"Dec 19, 2023",€70.00m
21,22.0,Christopher Nkunku Attacking Midfield,,26.0,,€80.00m,"Mar 14, 2024",€70.00m
22,23.0,Alexis Mac Allister Central Midfield,,25.0,,€70.00m,"Mar 14, 2024",€70.00m
23,24.0,Alexander Isak Centre-Forward,,24.0,,€70.00m,"Dec 19, 2023",€70.00m
24,25.0,Darwin Núñez Centre-Forward,,24.0,,€70.00m,"Mar 14, 2024",€70.00m
25,26.0,Trent Alexander-Arnold Right-Back,,25.0,,€110.00m,"Dec 19, 2023",€70.00m
26,27.0,Gabriel Magalhães Centre-Back,,26.0,,€65.00m,"Mar 14, 2024",€65.00m
27,28.0,Jack Grealish Left Winger,,28.0,,€100.00m,"Mar 14, 2024",€65.00m
28,29.0,Mohamed Salah Right Winger,,31.0,,€150.00m,"Dec 19, 2023",€65.00m
29,30.0,Ollie Watkins Centre-Forward,,28.0,,€65.00m,"Mar 14, 2024",€65.00m
30,31.0,Jérémy Doku Left Winger,,21.0,,€65.00m,"Dec 19, 2023",€65.00m
31,32.0,Lucas Paquetá Attacking Midfield,,26.0,,€65.00m,"Dec 19, 2023",€65.00m
32,33.0,Rasmus Højlund Centre-Forward,,21.0,,€65.00m,"Dec 19, 2023",€65.00m
33,34.0,Evan Ferguson Centre-Forward,,19.0,,€65.00m,"Mar 14, 2024",€60.00m
34,35.0,Kai Havertz Attacking Midfield,,24.0,,€90.00m,"Mar 14, 2024",€60.00m
35,36.0,Marcus Rashford Left Winger,,26.0,,€85.00m,"Mar 14, 2024",€60.00m
36,37.0,Kevin De Bruyne Attacking Midfield,,32.0,,€150.00m,"Dec 19, 2023",€60.00m
37,38.0,Cristian Romero Centre-Back,,25.0,,€65.00m,"Mar 14, 2024",€60.00m
38,39.0,Cole Palmer Attacking Midfield,,21.0,,€55.00m,"Mar 14, 2024",€55.00m
39,40.0,Moussa Diaby Right Winger,,24.0,,€60.00m,"Mar 14, 2024",€55.00m
40,41.0,Pedro Neto Right Winger,,24.0,,€55.00m,"Mar 14, 2024",€55.00m
41,42.0,Ben White Right-Back,,26.0,,€55.00m,"Dec 19, 2023",€55.00m
42,43.0,João Palhinha Defensive Midfield,,28.0,,€60.00m,"Mar 14, 2024",€55.00m
