Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Team
0,William Saliba,fr FRA,DF,23-002,28.0,2409,167,942,1365,108,12,2409,5,2,40.0,3,60.0,1592,7079,4256,14,18,1,17,11,1812,5,Arsenal
1,Declan Rice,eng ENG,MF,25-072,26.6,2128,85,475,1153,517,34,2128,29,14,48.3,11,37.9,1380,8286,4169,55,53,7,23,15,1593,39,Arsenal
2,Bukayo Saka,eng ENG,FW,22-203,25.1,1553,22,129,370,1063,204,1549,98,39,39.8,43,43.9,1004,5785,2883,123,56,52,48,36,1117,422,Arsenal
3,Martin Ødegaard,no NOR,MF,25-100,24.5,1722,15,178,697,857,112,1720,50,25,50.0,21,42.0,1168,5819,2542,66,57,24,36,44,1355,145,Arsenal
4,Ben White,eng ENG,DF,26-170,23.7,1831,75,460,884,500,43,1831,15,6,40.0,8,53.3,1033,3735,1971,28,23,7,18,6,1288,128,Arsenal
5,Gabriel Dos Santos,br BRA,DF,26-098,24.2,1879,211,769,931,188,33,1879,4,1,25.0,2,50.0,1140,4679,2729,12,30,1,8,2,1342,8,Arsenal
6,Gabriel Martinelli,br BRA,FW,22-282,19.4,1090,6,75,268,759,170,1090,104,36,34.6,55,52.9,759,5059,2581,109,43,68,42,33,849,303,Arsenal
7,David Raya,es ESP,GK,28-193,22.0,740,507,718,22,0,0,740,0,0,,0,,491,2202,1245,0,0,0,0,0,425,0,Arsenal
8,Kai Havertz,de GER,"MF,FW",24-289,19.8,902,18,98,391,423,115,901,29,10,34.5,13,44.8,486,2157,1131,38,27,15,31,24,630,123,Arsenal
9,Oleksandr Zinchenko,ua UKR,DF,27-102,16.0,1467,35,279,748,449,27,1467,12,7,58.3,4,33.3,857,3975,1931,36,26,7,8,13,1001,54,Arsenal
10,Gabriel Jesus,br BRA,FW,26-358,12.7,598,11,48,195,362,103,598,55,27,49.1,20,36.4,395,2106,913,28,17,19,50,31,447,116,Arsenal
11,Eddie Nketiah,eng ENG,FW,24-301,11.7,356,4,16,144,198,69,356,29,8,27.6,14,48.3,224,1123,469,21,11,10,36,15,265,73,Arsenal
12,Leandro Trossard,be BEL,"FW,MF",29-113,11.3,605,8,68,219,326,77,605,31,16,51.6,12,38.7,385,2210,948,35,18,10,27,27,422,93,Arsenal
13,Jakub Kiwior,pl POL,DF,24-040,8.8,626,20,152,334,146,14,626,1,1,100.0,0,0.0,329,1166,640,4,7,1,6,1,422,13,Arsenal
14,Jorginho,it ITA,MF,32-097,8.1,730,15,120,405,206,2,730,3,1,33.3,2,66.7,457,1638,790,7,9,0,4,3,577,6,Arsenal
15,Aaron Ramsdale,eng ENG,GK,25-317,6.0,197,140,186,11,0,0,197,0,0,,0,,137,697,399,0,0,0,1,0,104,0,Arsenal
16,Takehiro Tomiyasu,jp JPN,DF,25-142,7.0,537,17,115,255,170,10,537,7,4,57.1,3,42.9,341,1493,750,11,10,0,6,3,368,24,Arsenal
17,Thomas Partey,gh GHA,"DF,MF",30-287,3.1,311,4,52,192,69,4,311,9,6,66.7,1,11.1,198,989,588,12,11,1,2,3,233,5,Arsenal
18,Fabio Vieira,pt POR,"MF,FW",23-301,3.2,171,2,11,71,91,18,170,8,2,25.0,5,62.5,107,517,255,10,2,4,7,4,131,27,Arsenal
19,Emile Smith Rowe,eng ENG,MF,23-242,2.6,172,0,13,71,89,11,172,7,3,42.9,3,42.9,101,562,330,8,5,1,4,3,129,11,Arsenal
20,Jurriën Timber,nl NED,DF,22-283,0.5,51,0,8,38,5,0,51,0,0,,0,,39,127,86,0,2,0,0,0,39,3,Arsenal
21,Reiss Nelson,eng ENG,"FW,MF",24-107,2.2,147,7,26,46,79,10,147,6,0,0.0,6,100.0,97,557,253,8,5,4,7,4,97,19,Arsenal
22,Cédric Soares,pt POR,DF,32-208,0.7,69,0,10,47,12,0,69,0,0,,0,,37,139,69,0,0,0,0,0,56,6,Arsenal
23,Mohamed Elneny,eg EGY,MF,31-259,0.3,45,1,9,30,6,1,45,0,0,,0,,27,148,62,1,0,0,1,0,37,0,Arsenal
24,Ethan Nwaneri,eng ENG,FW,17-005,0.2,20,0,0,9,11,2,20,1,0,0.0,0,0.0,16,123,66,2,2,0,0,0,17,1,Arsenal
25,Virgil van Dijk,nl NED,DF,32-262,25.3,2309,284,998,1225,91,54,2309,3,1,33.3,1,33.3,1387,6939,3622,22,12,0,2,3,1576,6,Liverpool
26,Luis Díaz,co COL,FW,27-073,20.4,1001,10,73,366,580,139,1001,93,42,45.2,38,40.9,691,4954,2372,86,51,42,58,50,758,198,Liverpool
27,Alexis Mac Allister,ar ARG,MF,25-093,20.1,1577,47,288,975,329,15,1576,28,16,57.1,9,32.1,934,3935,2056,25,34,2,19,22,1112,24,Liverpool
28,Alisson,br BRA,GK,31-176,21.0,937,585,897,41,0,0,937,0,0,,0,,659,3013,1947,0,0,0,4,0,596,0,Liverpool
29,Dominik Szoboszlai,hu HUN,MF,23-153,19.2,1440,34,202,723,535,41,1440,46,21,45.7,21,45.7,845,4453,2407,60,56,14,21,21,1003,122,Liverpool
30,Mohamed Salah,eg EGY,FW,31-285,20.2,968,3,36,350,594,164,962,56,19,33.9,36,64.3,705,3876,1919,76,38,52,50,40,797,232,Liverpool
