Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Team
0,William Saliba,fr FRA,DF,23-001,28.0,2,8,2,25.0,0.29,0.07,0.25,1.0,11.0,0,0,0,1.5,1.5,0.19,0.5,0.5,Arsenal
1,Declan Rice,eng ENG,MF,25-071,26.6,6,40,14,35.0,1.51,0.53,0.15,0.43,20.9,2,0,0,2.2,2.2,0.06,3.8,3.8,Arsenal
2,Bukayo Saka,eng ENG,FW,22-202,25.1,13,77,24,31.2,3.06,0.95,0.12,0.38,16.9,0,4,4,11.5,8.4,0.11,1.5,0.6,Arsenal
3,Martin Ødegaard,no NOR,MF,25-099,24.5,6,53,16,30.2,2.16,0.65,0.08,0.25,20.8,2,2,2,5.6,4.0,0.07,0.4,0.0,Arsenal
4,Ben White,eng ENG,DF,26-169,23.7,2,8,4,50.0,0.34,0.17,0.25,0.5,13.7,0,0,0,0.7,0.7,0.09,1.3,1.3,Arsenal
5,Gabriel Dos Santos,br BRA,DF,26-097,24.2,4,23,9,39.1,0.95,0.37,0.17,0.44,7.6,0,0,0,3.3,3.3,0.14,0.7,0.7,Arsenal
6,Gabriel Martinelli,br BRA,FW,22-281,19.4,6,49,15,30.6,2.52,0.77,0.12,0.4,15.7,0,0,0,5.6,5.6,0.11,0.4,0.4,Arsenal
7,David Raya,es ESP,GK,28-192,22.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Arsenal
8,Kai Havertz,de GER,"MF,FW",24-288,19.8,8,39,12,30.8,1.97,0.61,0.18,0.58,12.6,0,1,1,7.8,7.0,0.18,0.2,0.0,Arsenal
9,Oleksandr Zinchenko,ua UKR,DF,27-101,16.0,1,15,3,20.0,0.94,0.19,0.07,0.33,22.4,0,0,0,0.5,0.5,0.03,0.5,0.5,Arsenal
10,Gabriel Jesus,br BRA,FW,26-357,12.7,4,42,17,40.5,3.31,1.34,0.1,0.24,11.6,0,0,0,5.4,5.4,0.13,-1.4,-1.4,Arsenal
11,Eddie Nketiah,eng ENG,FW,24-300,11.7,5,36,11,30.6,3.08,0.94,0.14,0.45,12.6,0,0,0,4.4,4.4,0.12,0.6,0.6,Arsenal
12,Leandro Trossard,be BEL,"FW,MF",29-112,11.3,7,40,14,35.0,3.53,1.24,0.18,0.5,16.3,0,0,0,5.3,5.3,0.13,1.7,1.7,Arsenal
13,Jakub Kiwior,pl POL,DF,24-039,8.8,1,6,2,33.3,0.69,0.23,0.17,0.5,13.8,0,0,0,0.8,0.8,0.14,0.2,0.2,Arsenal
14,Jorginho,it ITA,MF,32-096,8.1,0,4,0,0.0,0.49,0.0,0.0,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Arsenal
15,Aaron Ramsdale,eng ENG,GK,25-316,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Arsenal
16,Takehiro Tomiyasu,jp JPN,DF,25-141,7.0,1,8,2,25.0,1.14,0.28,0.13,0.5,17.8,0,0,0,0.5,0.5,0.06,0.5,0.5,Arsenal
17,Thomas Partey,gh GHA,"DF,MF",30-286,3.1,0,2,1,50.0,0.65,0.32,0.0,0.0,17.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Arsenal
18,Fabio Vieira,pt POR,"MF,FW",23-300,3.2,1,5,1,20.0,1.57,0.31,0.0,0.0,18.3,0,1,1,1.2,0.4,0.08,-0.2,-0.4,Arsenal
19,Emile Smith Rowe,eng ENG,MF,23-241,2.6,0,10,4,40.0,3.83,1.53,0.0,0.0,15.9,0,0,0,1.5,1.5,0.15,-1.5,-1.5,Arsenal
20,Jurriën Timber,nl NED,DF,22-282,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Arsenal
21,Reiss Nelson,eng ENG,"FW,MF",24-106,2.2,0,3,1,33.3,1.39,0.46,0.0,0.0,22.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Arsenal
22,Cédric Soares,pt POR,DF,32-207,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Arsenal
23,Mohamed Elneny,eg EGY,MF,31-258,0.3,0,2,1,50.0,6.43,3.21,0.0,0.0,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Arsenal
24,Ethan Nwaneri,eng ENG,FW,17-004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Arsenal
25,Virgil van Dijk,nl NED,DF,32-261,25.3,2,29,10,34.5,1.15,0.4,0.07,0.2,12.4,1,0,0,2.1,2.1,0.07,-0.1,-0.1,Liverpool
26,Luis Díaz,co COL,FW,27-072,20.4,6,67,22,32.8,3.28,1.08,0.09,0.27,15.5,0,0,0,8.6,8.6,0.13,-2.6,-2.6,Liverpool
27,Alexis Mac Allister,ar ARG,MF,25-092,20.1,3,23,5,21.7,1.14,0.25,0.09,0.4,25.8,0,1,1,2.0,1.2,0.05,1.0,0.8,Liverpool
28,Alisson,br BRA,GK,31-175,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Liverpool
