Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Team
0,William Saliba,fr FRA,DF,23-001,28,28,2520.0,28.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,0.2,1.7,14.0,117.0,5.0,0.07,0.04,0.11,0.07,0.11,0.05,0.01,0.06,0.05,0.06,Arsenal
1,Declan Rice,eng ENG,MF,25-071,28,28,2391.0,26.6,6.0,5.0,11.0,6.0,0.0,0.0,3.0,0.0,2.2,2.2,3.7,5.9,55.0,227.0,39.0,0.23,0.19,0.41,0.23,0.41,0.08,0.14,0.22,0.08,0.22,Arsenal
2,Bukayo Saka,eng ENG,FW,22-202,27,27,2262.0,25.1,13.0,8.0,21.0,9.0,4.0,4.0,3.0,0.0,11.5,8.4,8.2,16.6,123.0,100.0,422.0,0.52,0.32,0.84,0.36,0.68,0.46,0.33,0.79,0.33,0.66,Arsenal
3,Martin Ødegaard,no NOR,MF,25-099,25,25,2208.0,24.5,6.0,6.0,12.0,4.0,2.0,2.0,2.0,0.0,5.6,4.0,6.2,10.1,66.0,241.0,145.0,0.24,0.24,0.49,0.16,0.41,0.23,0.25,0.48,0.16,0.41,Arsenal
4,Ben White,eng ENG,DF,26-169,27,25,2134.0,23.7,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,0.7,0.7,2.3,3.0,28.0,136.0,128.0,0.08,0.17,0.25,0.08,0.25,0.03,0.1,0.13,0.03,0.13,Arsenal
5,Gabriel Dos Santos,br BRA,DF,26-097,26,24,2176.0,24.2,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,3.3,3.3,0.7,3.9,12.0,97.0,8.0,0.17,0.0,0.17,0.17,0.17,0.14,0.03,0.16,0.14,0.16,Arsenal
6,Gabriel Martinelli,br BRA,FW,22-281,25,23,1749.0,19.4,6.0,4.0,10.0,6.0,0.0,0.0,1.0,0.0,5.6,5.6,5.2,10.8,109.0,59.0,303.0,0.31,0.21,0.51,0.31,0.51,0.29,0.27,0.56,0.29,0.56,Arsenal
7,David Raya,es ESP,GK,28-192,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
8,Kai Havertz,de GER,"MF,FW",24-288,27,20,1779.0,19.8,8.0,3.0,11.0,7.0,1.0,1.0,7.0,0.0,7.8,7.0,1.9,8.9,38.0,81.0,123.0,0.4,0.15,0.56,0.35,0.51,0.39,0.1,0.49,0.36,0.45,Arsenal
9,Oleksandr Zinchenko,ua UKR,DF,27-101,22,17,1440.0,16.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.8,2.3,36.0,196.0,54.0,0.06,0.12,0.19,0.06,0.19,0.03,0.11,0.14,0.03,0.14,Arsenal
10,Gabriel Jesus,br BRA,FW,26-357,19,13,1141.0,12.7,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,5.4,5.4,2.6,8.0,28.0,36.0,116.0,0.32,0.24,0.55,0.32,0.55,0.42,0.21,0.63,0.42,0.63,Arsenal
11,Eddie Nketiah,eng ENG,FW,24-300,24,10,1052.0,11.7,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,4.4,4.4,0.8,5.2,21.0,19.0,73.0,0.43,0.17,0.6,0.43,0.6,0.38,0.07,0.45,0.38,0.45,Arsenal
12,Leandro Trossard,be BEL,"FW,MF",29-112,24,10,1020.0,11.3,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,5.3,5.3,1.9,7.2,35.0,53.0,93.0,0.62,0.09,0.71,0.62,0.71,0.46,0.17,0.63,0.46,0.63,Arsenal
13,Jakub Kiwior,pl POL,DF,24-039,16,9,788.0,8.8,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.7,4.0,48.0,13.0,0.11,0.34,0.46,0.11,0.46,0.09,0.1,0.19,0.09,0.19,Arsenal
14,Jorginho,it ITA,MF,32-096,18,8,728.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,1.0,7.0,87.0,6.0,0.0,0.12,0.12,0.0,0.12,0.01,0.11,0.12,0.01,0.12,Arsenal
15,Aaron Ramsdale,eng ENG,GK,25-316,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
16,Takehiro Tomiyasu,jp JPN,DF,25-141,13,5,634.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.5,0.5,0.2,0.7,11.0,58.0,24.0,0.14,0.14,0.28,0.14,0.28,0.07,0.03,0.11,0.07,0.11,Arsenal
17,Thomas Partey,gh GHA,"DF,MF",30-286,6,3,278.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,12.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.06,0.02,0.06,Arsenal
18,Fabio Vieira,pt POR,"MF,FW",23-300,9,2,286.0,3.2,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.2,0.4,1.4,1.8,10.0,13.0,27.0,0.31,0.63,0.94,0.0,0.63,0.38,0.45,0.82,0.13,0.58,Arsenal
19,Emile Smith Rowe,eng ENG,MF,23-241,10,2,235.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2,1.7,8.0,16.0,11.0,0.0,0.38,0.38,0.0,0.38,0.57,0.07,0.64,0.57,0.64,Arsenal
20,Jurriën Timber,nl NED,DF,22-282,1,1,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
21,Reiss Nelson,eng ENG,"FW,MF",24-106,14,0,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,8.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.05,0.26,0.31,0.05,0.31,Arsenal
22,Cédric Soares,pt POR,DF,32-207,3,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
23,Mohamed Elneny,eg EGY,MF,31-258,3,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Arsenal
24,Ethan Nwaneri,eng ENG,FW,17-004,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Arsenal
25,Mauro Bandeira,pt POR,MF,20-128,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsenal
26,Bradley Ibrahim,eng ENG,MF,19-156,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsenal
27,Karl Jakob Hein,ee EST,GK,21-347,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsenal
28,Myles Lewis-Skelly,eng ENG,MF,17-181,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsenal
29,Charles Sagoe Jr,eng ENG,FW,19-245,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsenal
30,James Sweet,wls WAL,DF,20-143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsenal
31,Reuell Walters,eng ENG,DF,19-100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsenal
32,Virgil van Dijk,nl NED,DF,32-261,26,26,2277.0,25.3,2.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,2.1,2.1,1.5,3.6,22.0,132.0,6.0,0.08,0.08,0.16,0.08,0.16,0.08,0.06,0.14,0.08,0.14,Liverpool
33,Luis Díaz,co COL,FW,27-072,27,22,1836.0,20.4,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,8.6,8.6,2.9,11.5,86.0,75.0,198.0,0.29,0.15,0.44,0.29,0.44,0.42,0.14,0.56,0.42,0.56,Liverpool
34,Alexis Mac Allister,ar ARG,MF,25-092,23,22,1809.0,20.1,3.0,4.0,7.0,2.0,1.0,1.0,5.0,1.0,2.0,1.2,2.0,3.3,25.0,132.0,24.0,0.15,0.2,0.35,0.1,0.3,0.1,0.1,0.2,0.06,0.16,Liverpool
